序号,地点,经度,纬度,Table Name
1,后店村,116.2519,40.547,丰宁县-01
2,富贵山村,116.2217,41.2189,丰宁县-02
3,九宫号村,116.1759,41.0325,丰宁县-03
4,高栅子村,116.211,40.5959,丰宁县-04
5,杨木栅子村,116.2239,40.5812,丰宁县-05
6,黑牛山村,116.2342,40.565,丰宁县-06
7,东坡村,116.2345,40.5837,丰宁县-07
8,歪脖沟村,116.2093,41.3185,丰宁县-08
9,料坡道村,116.405922,41.106007,丰宁县-09
10,西湾子村,116.488974,41.12275,丰宁县-10
11,田营村,116.2659,41.513,丰宁县-11
12,龙潭村,116.35392,41.168473,丰宁县-12
13,下庙村,116.43339,41.04602,丰宁县-13
14,羊草沟门村,116.51195,41.075,丰宁县-14
15,榆树林村,117.199782,41.250921,丰宁县-15
16,上坝村,117.275799,41.301701,丰宁县-16
17,下官营村,117.179151,41.153292,丰宁县-17
18,铁营村,117.235729,41.113704,丰宁县-18
19,达来沟村,117.243701,41.218811,丰宁县-19
20,坝汉沟村,117.14701,41.286657,丰宁县-20
21,刘营村,117.225938,41.135416,丰宁县-21
22,白营村,117.153997,41.205977,丰宁县-22
23,坝营村,117.223644,41.144856,丰宁县-23
24,陶来营村,117.205597,41.203629,丰宁县-24
25,上官营村,117.193964,41.299091,丰宁县-25
26,千佛寺村,117.201712,41.262263,丰宁县-26
27,毛桃沟村,117.16579,41.286713,丰宁县-27
28,二道沟村,117.294114,41.254631,丰宁县-28
29,朱首营村,117.151203,41.271959,丰宁县-29
30,团榆树村,117.161569,41.162372,丰宁县-30
31,坝汉沟村,117.145602,41.288022,丰宁县-31
32,下坝村,117.285228,41.275502,丰宁县-32
33,八郎沟村,117.210093,41.10279,丰宁县-33
34,达二营,116.591825,41.211595,丰宁县-34
35,南辛营,116.621661,41.113559,丰宁县-35
36,撒二营,116.562745,41.245023,丰宁县-36
37,四道河,116.686812,41.186709,丰宁县-37
38,南三营,116.6078654,41.24740335,丰宁县-38
39,六间房,116.613581,41.273582,丰宁县-39
40,韩村,116.445535,41.200145,丰宁县-40
41,曹碾沟村,116.27363,41.23221,丰宁县-41
42,下方营村,117.042207,40.970851,丰宁县-42
43,红旗营村,117.09681,40.957639,丰宁县-43
44,西龙潭村,116.565,40.581,丰宁县-44
45,前沟门村,117.056023,40.929644,丰宁县-45
46,五道沟门村,117.069132,40.992751,丰宁县-46
47,下山嘴村,116.990356,40.99312,丰宁县-47
48,上窝铺村,116.628797,41.56152,丰宁县-48
49,乐国村宅户沟,116.610625,41.543239,丰宁县-49
50,东村,116.661762,41.466899,丰宁县-50
51,石栅子,116.624242,41.462581,丰宁县-51
52,小河村新民居,116.662542,41.438251,丰宁县-52
53,南沟村王石沟,116.729706,41.418725,丰宁县-53
54,哈拉海湾村南天门沟,116.617769,41.615392,丰宁县-54
55,东营子,116.690855,41.471029,丰宁县-55
56,老虎沟门雾拉海沟,116.540726,41.543999,丰宁县-56
57,上窝铺村,116.628797,41.56152,丰宁县-57
58,乐国村宅户沟,116.610625,41.543239,丰宁县-58
59,东山神庙村,117.849,41.56,丰宁县-59
60,槽碾沟村,117.544,41.5,丰宁县-60
61,山湾村,117.042665,41.176324,丰宁县-61
62,官木山村,117.15976,41.85521,丰宁县-62
63,石人沟村,117.024689,41.073532,丰宁县-63
64,高营村,117.120465,41.040168,丰宁县-64
65,东山神庙村,117.849,41.56,丰宁县-65
66,八间房村,116.5819,41.021,丰宁县-66
67,平山村,116.5932,40.5922,丰宁县-67
68,三道沟门村,116.546,40.5931,丰宁县-68
69,小兰营村,116.5033,41.26,丰宁县-69
70,大金营村,116.5024,41.221,丰宁县-70
71,小营子村,116.484,41.341,丰宁县-71
72,黄土梁村,116.4451,41.423,丰宁县-72
73,东沟村,116.4435,41.17,丰宁县-73
74,西山神庙村,116.4444,41.219,丰宁县-74
75,喇嘛栅子村,116.4839,40.58,丰宁县-75
