序号,地点,经度,纬度,Table Name
1,黄花岭林场三窝铺营林区,117.1402,41.4175,丰宁国有林场管理处-01
2,两间房林场东沟营林区,116.7181,41.039627,丰宁国有林场管理处-02
3,干沟门林场连桂营林区,116.37714,41.37259,丰宁国有林场管理处-03
4,干沟门林场连阴寨营林区,116.39013,41.36736,丰宁国有林场管理处-04
5,干沟门林场高台沟营林区,116.42667,41.37665,丰宁国有林场管理处-05
6,四岔口林场茶棚营林区,116.4295562,41.58772325,丰宁国有林场管理处-06
7,王营林场范营营林区,116.8979183,41.29850167,丰宁国有林场管理处-07
8,王营林场王营营林区,117.0364117,41.243345,丰宁国有林场管理处-08
9,王营林场王营营林区,117.0544583,41.26667833,丰宁国有林场管理处-09
10,王营林场铁营营林区,117.1288133,41.24356334,丰宁国有林场管理处-10
11,平顶山林场二道梁营林区,116.723244,41.352996,丰宁国有林场管理处-11
12,云雾山林场云雾山营林区,116.7178,41.136426,丰宁国有林场管理处-12
13,大滩林场河槽子营林区,116.014465,41.60082,丰宁国有林场管理处-13
14,草原林场永太兴营林区,116.6902986,41.919965,丰宁国有林场管理处-14
15,邓栅子林场邓栅子营林区,116.30055,41.23528,丰宁国有林场管理处-15
