序号,地点,经度,纬度,Table Name
1,金沟屯镇金沟屯村碾子沟,117.5107436,41.06127145,滦平县-01
2,付家店乡青松营村宋营西沟,117.1045779,40.82481806,滦平县-02
3,付营子镇青石垛村黄土湾,117.6956901,40.85277033,滦平县-03
4,火斗山镇井上村井上下营,117.2448812,40.82120719,滦平县-04
5,金沟屯镇丁营村七林沟,117.4198815,41.09105597,滦平县-05
6,张百湾镇西井沟村西井沟沟门,117.5250295,40.98238911,滦平县-06
7,长山峪镇三道营村车道梁,117.5208734,40.8796314,滦平县-07
8,张百湾镇张百湾村驾校院内,117.5564715,40.98428906,滦平县-08
9,长山峪镇二道营子村二营,117.5370185,40.88195717,滦平县-09
10,付营子镇青石垛南梁,117.6886156,40.83446107,滦平县-10
11,付家店乡三道沟门村蕨菜沟,117.1394454,40.81820173,滦平县-11
12,火斗山镇边营村大西沟,117.2062213,40.8421648,滦平县-12
