序号,地点,经度,纬度,Table Name
1,上虎盆村,115.07601,40.02613,涿鹿县-01
2,上洗马村,115.112,40.03801,涿鹿县-02
3,黄花梁村,115.132,40.07113,涿鹿县-03
4,贾岭村,115.1442,40.10278,涿鹿县-04
5,黄土港村,115.2212,40.44844,涿鹿县-05
6,观音殿村,115.4409,40.06174,涿鹿县-06
7,苇子村,115.491,40.06299,涿鹿县-07
8,董家庄村,115.4766,40.05585,涿鹿县-08
9,塔寺村,115.4919,40.08212,涿鹿县-09
10,兑九沟村,115.398,40.07178,涿鹿县-10
11,鲍家口村,115.3435,40.05408,涿鹿县-11
12,上梨园村,115.2823,40.05711,涿鹿县-12
13,谭庄村,115.1424,40.3973,涿鹿县-13
14,张家河村,115.0517,40.21929,涿鹿县-14
15,高庄村,115.2941,40.02316,涿鹿县-15
16,穆家沟村,115.1973,40.19565,涿鹿县-16
