序号,地点,经度,纬度,Table Name
1,赵各庄林场安北林区,115.2722426,39.70368338,涞水县-01
2,赵各庄林场板城林区,115.2652248,39.61008489,涞水县-02
3,赵各庄林场嘉秘寺林区1,115.2359568,39.69052498,涞水县-03
4,赵各庄林场嘉秘寺林区2,115.2363923,39.68503781,涞水县-04
5,赵各庄林场龙巴港林区,115.3065881,39.70939559,涞水县-05
6,赵各庄林场南峪港村1,115.2502959,39.66923898,涞水县-06
7,赵各庄林场南峪港村2,115.2525219,39.66746769,涞水县-07
8,赵各庄林场其中林区1,115.051549,39.68602665,涞水县-08
9,赵各庄林场其中林区2,115.0401271,39.67462199,涞水县-09
10,赵各庄林场上港林区1,115.1693174,39.59434171,涞水县-10
11,赵各庄林场上港林区2,115.1742823,39.5972748,涞水县-11
12,其中口乡其中口村1,115.109853,139.6604,涞水县-12
13,其中口乡其中口村2,115.044398,39.687997,涞水县-13
14,其中口乡安子沟村,115.083022,39.628414,涞水县-14
15,其中口乡西角村,115.153616,39.66309,涞水县-15
16,其中口乡东河山村,115.1149,39.6369,涞水县-16
17,其中口乡泡尔上村,115.142727,39.672148,涞水县-17
18,其中口乡西交界口村,115.170931,39.672916,涞水县-18
19,其中口乡吕家铺村1,115.167644,39.642087,涞水县-19
20,其中口乡吕家铺村2,115.167627,39.642094,涞水县-20
21,永阳镇南洛平村1,115.59064,39.44088,涞水县-21
22,永阳镇南洛平村2,115.576649,39.444506,涞水县-22
23,永阳镇孙家坟村,115.574044,39.483301,涞水县-23
24,东文山镇东车亭村1,115.676068,39.441995,涞水县-24
25,东文山镇东车亭村2,115.677542,39.440867,涞水县-25
26,东文山镇上车亭村1,115.641886,39.448723,涞水县-26
27,东文山镇上车亭村2,115.642834,39.459971,涞水县-27
28,东文山镇杜家庄村1,115.66604,39.440651,涞水县-28
29,东文山镇杜家庄村2,115.667098,39.441639,涞水县-29
30,赵各庄镇上安北村1,115.257878,39.721218,涞水县-30
31,赵各庄镇上安北村2,115.256692,39.724799,涞水县-31
32,赵各庄镇河东村,115.30893,39.664341,涞水县-32
33,赵各庄镇福山口村,115.334118,39.678815,涞水县-33
34,赵各庄镇小丰口村,115.336194,39.705633,涞水县-34
35,赵各庄镇汤家庄村1,115.313658,39.774,涞水县-35
36,赵各庄镇汤家庄村2,115.318713,39.751686,涞水县-36
37,一渡镇色树村1,115.602298,39.546464,涞水县-37
38,一渡镇色树村2,115.603577,39.54594,涞水县-38
