序号,地点,经度,纬度,Table Name
1,"东陵林场南山林区小狗窝沟
西",117.666241,40.138431,遵化市-01
2,东陵林场南山林区老牛道,117.65981,40.146286,遵化市-02
3,东陵林场北山林区大老婆沟,117.628626,40.200933,遵化市-03
4,东陵林场北山林区核桃树沟,117.662965,40.202689,遵化市-04
5,东陵林场北山林区蝎子峪,117.664108,40.183533,遵化市-05
6,新店子镇沙石峪村,118.047635,40.115047,遵化市-06
7,新店子镇君子口村,118.024906,40.053403,遵化市-07
8,东陵乡租户村金星山,117.699601,40.137872,遵化市-08
9,党峪镇杨家峪村,118.00517,40.015355,遵化市-09
10,党峪镇下马峪村,118.072507,39.972496,遵化市-10
11,建明镇接官厅村村,118.161105,40.200299,遵化市-11
12,娘娘庄镇西娘娘庄村西山,118.063529,40.033311,遵化市-12
13,娘娘庄镇白道子村,118.033425,40.037707,遵化市-13
14,地北头镇地北头村燕龙寺南,117.961111,39.939167,遵化市-14
15,"地北头镇鲁家峪村村东陈列
馆南侧",117.924692,39.955338,遵化市-15
