序号,地点,经度,纬度,Table Name
1,木兰林场龙头山分场四区高架桥下沟,117.768023,41.970009,木兰围场林场-01
2,木兰林场龙头山分场头道岔沟里,117.673728,41.846329,木兰围场林场-02
3,木兰林场龙头山分场头道岔沟里,117.673728,41.846329,木兰围场林场-03
4,木兰林场龙头山分场杨树沟沟里,117.553017,42.003241,木兰围场林场-04
5,木兰林场燕格柏分场三场交界,117.304863,42.210765,木兰围场林场-05
6,木兰林场燕格柏分场柳条沟梁头,117.216578,42.176578,木兰围场林场-06
7,木兰林场良繁场与大唤起交界,117.366416,42.136617,木兰围场林场-07
8,木兰林场新丰分场千层沟三道渠子沟门,118.080624,41.655126,木兰围场林场-08
9,木兰林场新丰分场大西沟东岔沟里,118.058896,41.657108,木兰围场林场-09
10,木兰林场新丰分场望火楼下,118.154708,41.678144,木兰围场林场-10
11,木兰林场新丰分场前松林沟门,117.994119,41.8242111,木兰围场林场-11
12,木兰林场新丰分场二道沟门,118.011856,41.8296219,木兰围场林场-12
13,木兰林场孟滦分场碑梁沟梁头,117.213388,41.799924,木兰围场林场-13
14,木兰林场孟滦分场花脸牛,117.073852,41.803113,木兰围场林场-14
15,木兰林场孟滦分场小孟奎梁头,117.034149,41.934898,木兰围场林场-15
16,木兰林场孟滦分场东西拉坡道,117.12381,41.774148,木兰围场林场-16
17,木兰林场孟滦分场前柳条水,117.011549,41.764604,木兰围场林场-17
18,木兰林场孟滦分场南沙坨子沟口,117.036816,41.854875,木兰围场林场-18
19,木兰林场山湾子分场望火楼,117.888644,42.237508,木兰围场林场-19
20,木兰林场山湾子分场大槽子,117.830863,42.550189,木兰围场林场-20
21,木兰林场山湾子分场大岗,117.774976,42.470054,木兰围场林场-21
22,木兰林场克勒沟分场石人沟梁头,118.186408,41.880829,木兰围场林场-22
23,木兰林场克勒沟分场四道沟沟里,118.248703,41.810706,木兰围场林场-23
24,木兰林场克勒沟分场拐弯子,118.121135,41.775682,木兰围场林场-24
25,木兰林场克勒沟分场大苇子沟,118.101301,41.912599,木兰围场林场-25
26,木兰林场克勒沟分场六家西沟,118.221512,41.898995,木兰围场林场-26
27,木兰林场桃山分场二复兴梁头岔路口,117.139174,42.120058,木兰围场林场-27
28,木兰林场桃山分场王四炮沟,117.158185,42.099401,木兰围场林场-28
29,木兰林场桃山分场斑鸠沟管护站,116.905811,41.999623,木兰围场林场-29
30,木兰林场四合永分场老水泉子,117.721389,41.849772,木兰围场林场-30
31,木兰林场四合永分场水晶宫北岔,117.610547,41.791643,木兰围场林场-31
32,木兰林场四合永分场扫虎沟,117.594833,41.7524954,木兰围场林场-32
33,木兰林场四合永分场昌字,117.694717,41.721573,木兰围场林场-33
34,木兰林场五道沟分场老五道沟梁头,116.868617,41.996755,木兰围场林场-34
35,木兰林场五道沟分场梁头三岔口,116.836546,41.921856,木兰围场林场-35
36,木兰林场五道沟分场龙潭沟梁头,116.8334758,41.901861,木兰围场林场-36
37,木兰林场五道沟分场与多伦交界梁头,116.844309,41.975765,木兰围场林场-37
38,木兰林场北沟分场北水泉,117.566744,41.812283,木兰围场林场-38
39,木兰林场北沟分场大麦土,117.426265,41.844679,木兰围场林场-39
40,木兰林场北沟分场骚虎沟,117.565983,41.761117,木兰围场林场-40
41,木兰林场北沟分场黄家东沟,117.481875,41.83614,木兰围场林场-41
42,木兰林场八英庄分场光顶山林路旁,117.948071,42.02024,木兰围场林场-42
43,木兰林场八英庄分场贾家梁,117.864605,42.066896,木兰围场林场-43
44,木兰林场八英庄分场下窝铺,117.8692957,42.0540273,木兰围场林场-44
45,木兰林场八英庄分场牙义沟,117.847431,42.120359,木兰围场林场-45
