技术参数,技术指标,Table Name
闪电类型,云闪、云地闪、袖珍云闪,表5-11 全波形三维雷电探测关键参数表
探测效率,云地闪≥95%，云闪≥70%,表5-11 全波形三维雷电探测关键参数表
定位精度,与地势相关，平均定位精度500m（无遮挡）,表5-11 全波形三维雷电探测关键参数表
基线距离,45~200km,表5-11 全波形三维雷电探测关键参数表
探测方式,组网探测,表5-11 全波形三维雷电探测关键参数表
传感器数量,≥4,表5-11 全波形三维雷电探测关键参数表
频率范围,3kHz~350kHz,表5-11 全波形三维雷电探测关键参数表
性能,全自动系统校准与自检,表5-11 全波形三维雷电探测关键参数表
远程配置,可远程配置操作参数,表5-11 全波形三维雷电探测关键参数表
回击分辨率,1ms,表5-11 全波形三维雷电探测关键参数表
可靠性,MTBF≥8000h,表5-11 全波形三维雷电探测关键参数表
通讯类型,可采用有线网络或4G网络,表5-11 全波形三维雷电探测关键参数表
功耗,≤15W,表5-11 全波形三维雷电探测关键参数表
供电方式,市电（175～275伏）,表5-11 全波形三维雷电探测关键参数表
